-53951 2.2265e+06
2082.5 2.1507e+06
-40686 2.0948e+06
-47387 2.1022e+06
-27203 2.1004e+06
-3189.2 2.0543e+06
-23143 2.029e+06
-30852 2.0038e+06
-13927 1.9909e+06
-9071.3 1.9263e+06
-36933 1.8852e+06
-19033 1.9155e+06
11471 1.8898e+06
-25632 1.8433e+06
-61514 1.836e+06
-13836 1.8433e+06
21683 1.8297e+06
-39600 1.763e+06
-65832 1.7413e+06
-13473 1.7216e+06
9849.2 1.6953e+06
-57835 1.6887e+06
-61430 1.7051e+06
16243 1.6782e+06
41991 1.664e+06
-70532 1.6497e+06
-55219 1.625e+06
23051 1.6252e+06
52689 1.5857e+06
-69871 1.5814e+06
-82233 1.5748e+06
24215 1.544e+06
35393 1.5366e+06
-67007 1.5391e+06
-42271 1.4886e+06
5614.4 1.4822e+06
-5481.5 1.4861e+06
-59790 1.5089e+06
-44061 1.5009e+06
-15695 1.4447e+06
-28679 1.4311e+06
-38488 1.4596e+06
-24191 1.4261e+06
-44285 1.4179e+06
-60794 1.3973e+06
-11757 1.4109e+06
16155 1.3909e+06
225 1.354e+06
95592 1.312e+06
4739.2 1.3132e+06
-48777 1.3232e+06
-75876 1.3241e+06
-66040 1.3219e+06
-30943 1.2887e+06
-46284 1.2781e+06
-69094 1.2809e+06
-60594 1.2882e+06
-23465 1.2347e+06
-43843 1.2201e+06
-52839 1.2609e+06
-40482 1.2496e+06
-15974 1.1888e+06
-27014 1.1797e+06
-35045 1.2197e+06
-20730 1.2333e+06
-14051 1.1583e+06
-34291 1.1637e+06
-20951 1.1852e+06
-3002.8 1.1824e+06
-18897 1.1469e+06
-35894 1.1551e+06
-11220 1.1598e+06
10632 1.1519e+06
-27175 1.1152e+06
-41669 1.1161e+06
-5534.2 1.1314e+06
19803 1.1044e+06
-36395 1.1019e+06
-56689 1.1231e+06
-2395.6 1.1032e+06
16654 1.0784e+06
-41740 1.0818e+06
-32188 1.0789e+06
188.59 1.04e+06
4354.5 1.0164e+06
-46733 1.0627e+06
-43959 1.0809e+06
9901.9 1.0175e+06
26070 9.9343e+05
-51415 1.0609e+06
-37668 1.0387e+06
15162 9.8944e+05
33540 9.481e+05
-50682 1.0314e+06
-57719 1.0369e+06
15578 9.4312e+05
25887 9.2586e+05
-45173 1.007e+06
-21006 9.4454e+05
6574.6 9.1223e+05
-1250.2 9.2381e+05
-34282 9.8255e+05
-22787 9.6697e+05
-7514.9 9.0633e+05
-17599 9.054e+05
-18865 9.464e+05
-7460.2 9.098e+05
-27007 9.1435e+05
-45890 9.2443e+05
-9766.2 9.1716e+05
3745.3 8.9102e+05
-36214 9.1467e+05
-36034 9.4261e+05
4.417 8.6809e+05
-27978 8.5559e+05
-49119 8.867e+05
-42269 8.914e+05
-9407.9 8.3037e+05
-18839 8.3122e+05
-41928 8.7909e+05
-38712 8.9762e+05
-3270.7 8.0971e+05
-20468 8.2256e+05
-35586 8.9095e+05
-31563 8.9389e+05
-5587.3 7.9472e+05
-14759 7.9345e+05
-32499 8.7512e+05
-26488 8.8542e+05
-12527 7.82e+05
-32106 8.1589e+05
-26490 8.4899e+05
-13675 8.3154e+05
-18917 7.7929e+05
-30698 8.0412e+05
-17244 8.2283e+05
-2968.5 8.0451e+05
-23794 7.6851e+05
-33330 7.9272e+05
-11341 7.9251e+05
4500.8 7.5221e+05
-29813 7.7507e+05
-42117 8.1504e+05
-11189 7.6519e+05
