-2.6529e+05 2.3182e+06
-3.4316e+05 8.8938e+05
-2.5553e+05 4.5491e+05
23828 -1.1676e+05
-1.9154e+05 4.8778e+05
-61099 53637
34709 -1.2143e+05
1.9599e+05 -4.0339e+05
-1.8744e+05 4.5437e+05
-72780 78614
32041 -1.0953e+05
-8373.8 -4920.5
8171.2 -76389
19221 -64783
6494.2 -57053
3.0156e+05 -3.4476e+05
-2.231e+05 3.4389e+05
-1.0604e+05 53702
-13491 -66493
-1038.8 -2636.1
-27505 -30609
-182.95 -38867
34937 -62323
54305 24311
-39477 7618.7
-24691 -9243
-2008.5 -49248
-10350 3978.8
-45607 58085
-33007 52935
-54089 88275
2.0238e+06 -4.325e+06
-7.5533e+05 2.4064e+06
-5.3454e+05 8.7178e+05
-4.3795e+05 5.3818e+05
51899 -1.3248e+05
-3.0324e+05 5.1851e+05
-1.0167e+05 92466
-8365.1 -38430
2.9994e+05 -4.4005e+05
-2.848e+05 4.833e+05
-1.1203e+05 1.0837e+05
32989 -79339
-9293.5 -1324.2
-10028 -23955
11201 -33773
-14243 -13687
4.341e+05 -4.5502e+05
-2.959e+05 3.8193e+05
-1.34e+05 80896
-18119 -31112
1296.9 -5961.1
-19422 -10042
4686.1 -25413
32139 -32206
25323 41912
42964 -50810
15033 -33296
-12423 -25187
-428.77 -8998.7
16331 -37944
6872.9 -19274
-22265 -9056.1
4.6232e+05 -1.2521e+05
-3.097e+05 1.9276e+05
-1.2796e+05 6913.1
-36339 -65208
4632.2 2198.2
-35596 -40524
-4875.3 -26179
18176 -22112
51903 62264
4043.9 -64197
-1868.3 -28951
-21590 -6894.1
-2703.2 -7220.8
16973 -21781
15687 -11826
8994.8 -25724
81012 1.2259e+05
-44448 -64579
-33557 -37545
-14240 -36208
-1237.8 -1727.3
-7390.7 -27810
-2695.2 -14430
15076 -18261
46906 9547.1
-28579 11597
-23411 7691
-14311 -13855
-8910.5 6199.9
-31745 33877
-17114 23091
-12225 23106
3.546e+06 -4.0608e+06
-1.2908e+06 2.3468e+06
-7.801e+05 7.7789e+05
-7.3397e+05 4.751e+05
89755 -1.3356e+05
-4.8642e+05 4.9198e+05
-1.7913e+05 94820
-92449 -9907.7
4.6557e+05 -4.259e+05
-4.6126e+05 4.6518e+05
-1.8537e+05 1.0693e+05
28837 -54672
-14997 261.65
-59245 3163.4
-13609 -16759
-63686 6171.8
7.1538e+05 -4.9073e+05
-4.8046e+05 3.9777e+05
-2.1854e+05 94115
-55487 -4891.8
7787.8 -10202
-69553 17794
1581.9 -18632
56180 -31586
68912 5887.7
-23700 -3801.4
-5030.7 -15905
2439.5 -23382
-3747.8 -4541.6
-4948.7 -17345
-9771.8 -5991.5
-57525 9686.4
9.7043e+05 -4.333e+05
-5.6365e+05 3.4407e+05
-2.5174e+05 71825
